,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
554,2949,9636563,K02892.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,10.635946,8.3e-05,-8.3e-05,139.8019,0.0055,-0.0055,0.49,0.79,-0.79,3.0202,,,244,,,1.26,0.51,-0.51,721.0,,,,,,17.0,,,5539.0,76.0,-76.0,4.59,0.3,-0.3,0.8,0.15,-0.15,285.33636,46.31237,15.091
555,2950,9520443,K02893.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.49507227,8e-07,-8e-07,132.03122,0.00073,-0.00073,0.02,0.12,-0.12,1.1226,,,451,,,1.46,0.71,-0.71,1771.0,,,,,,48.8,,,5020.0,87.0,-87.0,4.62,0.3,-0.3,0.7,0.14,-0.14,289.20413,46.133911,15.896
556,2952,5475641,K02895.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.0698442,1.3e-06,-1.3e-06,132.44265,0.00083,-0.00083,0.017,0.1,-0.1,4.9203,,,609,,,1.8,1.2,-1.2,1381.0,,,,,,188.2,,,4965.0,75.0,-75.0,4.59,0.3,-0.3,0.72,0.49,-0.49,298.55927,40.604858,14.298
557,2953,2853828,K02896.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.07746544,5.9e-07,-5.9e-07,131.58343,0.00031,-0.00031,0.06,0.59,-0.59,1.5691,,,170,,,1.69,0.77,-0.77,2171.0,,,,,,139.1,,,6329.0,98.0,-98.0,4.25,0.3,-0.3,1.33,0.54,-0.54,291.74017,38.014912,11.899
558,2954,5817986,K02897.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.58431068,5.6e-07,-5.6e-07,132.01169,0.00054,-0.00054,0.19,0.62,-0.62,1.5314,,,767,,,2.4,1.2,-1.2,2089.0,,,,,,100.3,,,5760.0,115.0,-115.0,4.53,0.3,-0.3,0.88,0.38,-0.38,298.55576,41.034061,15.361
559,2957,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,66.467694,7.6e-05,-7.6e-05,160.47431,0.0004,-0.0004,0.0,0.13,-0.13,19.738,,,12656,,,9.61,,,412.0,,,,,,1686.3,,,5490.0,,,4.475,,,0.882,,,300.15186,45.089611,13.483
560,2964,6507427,K02455.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.742536,1.2e-05,-1.2e-05,133.1404,0.0016,-0.0016,0.74,0.7,-0.7,1.0202,,,318,,,1.81,0.77,-0.77,1070.0,,,,,,24.4,,,5976.0,103.0,-103.0,4.52,0.3,-0.3,0.92,0.28,-0.28,286.50739,41.922131,14.413
561,2979,11303815,K02645.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.7057807,3.7e-06,-3.7e-06,133.1553,0.0014,-0.0014,0.62,0.56,-0.56,1.4806,,,386,,,1.7,1.3,-1.3,1327.0,,,,,,31.3,,,5289.0,107.0,-107.0,4.49,0.3,-0.3,0.84,0.58,-0.58,295.06241,49.049278,15.272
562,2980,6044553,K02646.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.53208852,7.5e-07,-7.5e-07,131.91116,0.0008,-0.0008,0.022,0.1,-0.1,2.2726,,,374,,,1.44,0.24,-0.24,1847.0,,,,,,76.2,,,5311.0,72.0,-72.0,4.62,0.3,-0.3,0.746,0.093,-0.093,292.48703,41.311119,15.397
563,2988,6200715,K00451.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.7235708,7.4e-06,-7.4e-06,172.1779,0.0013,-0.0013,0.35,0.91,-0.91,2.8983,,,532,,,2.7,1.6,-1.6,1380.0,,,,,,66.2,,,6522.0,117.0,-117.0,4.4,0.3,-0.3,1.15,0.47,-0.47,290.41916,41.525372,14.93
564,3008,9153554,K03044.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.37368571,6.3e-07,-6.3e-07,131.96156,0.00066,-0.00066,0.77,0.83,-0.83,0.9417,,,515,,,2.4,1.2,-1.2,2535.0,,,,,,55.0,,,5973.0,118.0,-118.0,4.52,0.3,-0.3,0.93,0.41,-0.41,291.38965,45.527168,15.688
565,3011,8161830,K03046.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.10118564,,,132.61692,,,0.3162,0.1,-0.1,5.2008,,,28,,,0.42,0.12,-0.12,1599.0,,,,,,21.5,,,5639.0,63.0,-63.0,4.57,0.3,-0.3,0.83,0.23,-0.23,290.41016,44.063541,13.308
566,3012,9301506,K03047.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.3026108,1e-06,-1e-06,131.7568,0.0011,-0.0011,0.71,0.75,-0.75,0.9711,,,189,,,1.22,0.58,-0.58,2194.0,,,,,,25.1,,,4901.0,200.0,-200.0,4.55,0.3,-0.3,0.82,0.3,-0.3,298.78799,45.77422,15.248
567,3018,10383687,K00334.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.487855,2.4e-05,-2.4e-05,176.9321,0.0018,-0.0018,0.03,0.14,-0.14,2.9984,,,271,,,1.6,,,910.0,,,,,,44.6,,,5880.0,,,4.432,,,0.996,,,280.88184,47.564243,13.301
568,3019,10470206,K00335.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,46.56678,0.00023,-0.00023,196.3096,0.0017,-0.0017,0.684,0.1,-0.1,7.463,,,796,,,4.9,1.9,-1.9,697.0,,,,,,114.5,,,6530.0,200.0,-200.0,4.13,0.3,-0.3,1.61,0.63,-0.63,291.81857,47.675282,13.893
